,website,region,Finanacial Status
271,http://humanites.univ-lille.fr/philosophie/,Hauts-de-France,public
272,http://humanites.univ-lille.fr/sciences-langage/,Hauts-de-France,public
273,http://hyrome.paysdelaloire.e-lyco.fr,Pays de la Loire,public
274,http://iae-aix.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
275,http://iae-nancy.univ-lorraine.fr,Grand Est,public
276,http://iae-toulon.univ-tln.fr,Provence-Alpes-Côte d'Azur,public
277,http://iae.u-bourgogne.fr,Bourgogne-Franche-Comté,public
278,http://iae.u-picardie.fr/formations/,Hauts-de-France,public
279,http://iae.uca.fr/,Auvergne-Rhône-Alpes,public
280,http://iae.umontpellier.fr/,Occitanie,public
281,http://iae.univ-fcomte.fr/,Bourgogne-Franche-Comté,public
282,http://iae.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
283,http://iae.univ-pau.fr,Nouvelle-Aquitaine,public
284,http://iae.univ-poitiers.fr,Nouvelle-Aquitaine,public
285,http://iae.univ-rouen.fr/,Normandie,public
286,http://iae.univ-st-etienne.fr/,Auvergne-Rhône-Alpes,public
287,http://iaemetz.univ-lorraine.fr/,Grand Est,public
288,http://ibs-formations.jimdo.com/,Guadeloupe,privé hors contrat
289,http://icea-edu.fr,Martinique,privé
290,http://ico.asso.fr,Ile-de-France,privé sous contrat
291,http://idea.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
292,http://idpi.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
293,http://idrac-bs.fr,Auvergne-Rhône-Alpes,privé reconnu par l'Etat
294,http://idrac-bs.fr,Ile-de-France,privé reconnu par l'Etat
295,http://idrac-bs.fr,Nouvelle-Aquitaine,privé reconnu par l'Etat
296,http://idrac-bs.fr,Occitanie,privé reconnu par l'Etat
297,http://idrac-bs.fr,Pays de la Loire,privé reconnu par l'Etat
298,http://idrac-bs.fr,Provence-Alpes-Côte d'Azur,privé reconnu par l'Etat
299,http://idsnormandie.fr/,Normandie,privé sous contrat
300,http://iej-evry.over-blog.com/,Ile-de-France,public
301,http://iej.facdedroit-lyon3.com,Auvergne-Rhône-Alpes,public
